"run","trt","imaz.rate","gr","rep","plot","mort.21dat","regrowth.28dat","control"
"2012_GH0201",29,17.5,"dicamba",3,108,1,1,0
"2012_GH0201",29,17.5,"dicamba",4,130,1,0,0
"2012_GH0201",29,17.5,"dicamba",5,155,1,1,0
"2012_GH0201",29,17.5,"dicamba",6,190,1,1,0
"2012_GH0201",30,35,"dicamba",1,30,1,1,0
"2012_GH0201",30,35,"dicamba",2,50,1,0,0
"2012_GH0201",30,35,"dicamba",3,95,0,1,1
"2012_GH0201",30,35,"dicamba",4,140,1,1,0
"2012_GH0201",30,35,"dicamba",5,179,0,0,1
"2012_GH0201",30,35,"dicamba",6,199,0,1,1
"2012_GH0201",31,70,"dicamba",1,31,1,1,0
"2012_GH0201",31,70,"dicamba",2,54,1,0,0
"2012_GH0201",31,70,"dicamba",3,103,1,1,0
"2012_GH0201",31,70,"dicamba",4,116,0,1,1
"2012_GH0201",31,70,"dicamba",5,146,0,1,1
"2012_GH0201",31,70,"dicamba",6,209,1,1,0
"2012_GH0201",32,4.4,"fluroxypyr",1,32,1,1,0
"2012_GH0201",32,4.4,"fluroxypyr",2,63,1,1,0
"2012_GH0201",32,4.4,"fluroxypyr",3,87,1,1,0
"2012_GH0201",32,4.4,"fluroxypyr",4,125,1,1,0
"2012_GH0201",32,4.4,"fluroxypyr",5,151,1,1,0
"2012_GH0201",32,4.4,"fluroxypyr",6,205,1,0,0
"2012_GH0201",33,8.8,"fluroxypyr",1,33,1,1,0
"2012_GH0201",33,8.8,"fluroxypyr",2,66,1,0,0
"2012_GH0201",33,8.8,"fluroxypyr",3,101,1,0,0
"2012_GH0201",33,8.8,"fluroxypyr",4,115,1,1,0
"2012_GH0201",33,8.8,"fluroxypyr",5,147,0,0,1
"2012_GH0201",33,8.8,"fluroxypyr",6,204,1,0,0
"2012_GH0201",34,17.5,"fluroxypyr",1,34,1,0,0
"2012_GH0201",34,17.5,"fluroxypyr",2,68,1,0,0
"2012_GH0201",34,17.5,"fluroxypyr",3,97,1,1,0
"2012_GH0201",34,17.5,"fluroxypyr",4,119,1,0,0
"2012_GH0201",34,17.5,"fluroxypyr",5,145,0,0,1
"2012_GH0201",34,17.5,"fluroxypyr",6,210,1,1,0
"2012_GH0201",35,35,"fluroxypyr",1,35,1,1,0
"2012_GH0201",35,35,"fluroxypyr",2,70,1,0,0
"2012_GH0201",35,35,"fluroxypyr",3,79,1,1,0
"2012_GH0201",35,35,"fluroxypyr",4,109,0,1,1
"2012_GH0201",35,35,"fluroxypyr",5,152,1,1,0
"2012_GH0201",35,35,"fluroxypyr",6,184,1,1,0
"2012_GH0201",36,70,"fluroxypyr",1,36,0,1,1
"2012_GH0201",36,70,"fluroxypyr",2,37,0,0,1
"2012_GH0201",36,70,"fluroxypyr",3,99,0,1,1
"2012_GH0201",36,70,"fluroxypyr",4,136,1,1,0
"2012_GH0201",36,70,"fluroxypyr",5,176,1,1,0
"2012_GH0201",36,70,"fluroxypyr",6,202,0,1,1
